Review #,Brand,Variety,Style,Country,Stars,Top Ten
1609,Mitoku,Brown Rice Ramen,Pack,Japan,0.25,
1952,Ve Wong,Kung-Fu Brand Instant Oriental Noodle Soup Artificial Beef Flavor,Pack,Taiwan,3.75,
1459,Nissin,Cup Noodles Tom Yam Veg Flavour,Cup,Singapore,4,
2274,Suimin,Noodles With Braised Beef Flavour,Cup,Australia,4,
268,Nissin,Cup Noodles Spicy Chile Chicken,Cup,USA,3.5,
1031,HoMyeonDang,Premium Noodle House Don Ramyun,Pack,South Korea,4,
2551,KOKA,Signature Tom Yum Flavor Instant Noodles,Pack,Singapore,4,
697,Nissin,Spoon-it Rich Hearty Savory Chicken,Pack,USA,3.25,
1643,Emart,Dare You! Habanero Jjajang Ramen,Cup,South Korea,3.5,
2580,New Touch,T's Restaurant Tantanmen ,Cup,Japan,3.75,
2486,Nissin,Demae Ramen Spicy,Pack,Germany,3.5,
625,Pot Noodle,Bombay Bad Boy,Cup,UK,4,
1127,Campbell's,Hearty Noodles Chicken Flavour,Cup,Canada,2.75,
514,Shirakiku,Sanukiya Fresh Spicy Ramen,Bowl,Japan,3,
1537,Wai Wai,Quick Zabb Chili Paste Tom Yum Flavour Instant Noodles,Pack,Thailand,3.75,
1674,Emart,Dare You! Habanero Ramen (New Edition),Cup,South Korea,3.5,
1474,Mama,Instant Noodle Shrimp Tom Yum Flavour Jumbo Pack,Pack,Thailand,4,
956,Sakurai Foods,Sesame Noodles,Pack,Japan,5,
1879,Myojo,Chicken Tanmen Flavour,Pack,Singapore,3.5,
1042,Nongshim,Potato Pork Ramyun,Pack,China,5,
2446,KOKA,Creamy Soup Witrh Crushed Noodles Curry Flavor,Cup,Singapore,5,
2519,Guava Story,Anchovy Flavor Guava Rice Noodles,Tray,South Korea,1,
1436,Chencun,Rice Noodle Beef With Brown Sauce,Cup,China,3.5,
1975,Nissin,Soba Fried Noodles Classic,Pack,Germany,3.25,
314,Paldo,Dosirac Mushroom,Tray,South Korea,2.5,
147,Higashi,Nagasaki Sara Udon,Pack,Japan,5,
1925,Prima,Juzz's Mee Creamy Chicken Flavour,Pack,Singapore,5,2016 #8
1808,Mama,Vegetarian Instant Cup Noodle Tofu & Shiitake Flavour,Cup,Thailand,3.5,
1508,Mamee,Chef Gold Recipe Mi Kari Seribu Rasa,Pack,Malaysia,5,2015 #6
1189,Acecook,Comet Mori Yukino Tan-tan men,Bowl,Japan,5,
1702,Samyang Foods,Seafood Noodle,Cup,Japan,2.75,
215,Maruchan,Yakisoba Chicken,Tray,USA,2,
674,Paldo,Kko Kko Myun,Pack,South Korea,5,
890,Unif / Tung-I,Mushroom Flavor Ramen Noodles,Pack,Vietnam,3.5,
541,Yum Yum,Chicken,Pack,Thailand,3.5,
2284,Nissin,Korean Kimchi Flavour Vermicelli,Cup,Hong Kong,4,
2007,Nongshim,Rice Fettucini Alfredo,Pack,United States,3.75,
2045,Great Value,Chicken Style Ramen Noodles,Pack,Canada,3.5,
1467,Ruski,Creamy Tom Yam Instant Noodles,Pack,Thailand,4.5,
842,JML,Artificial Stew Beef,Bowl,China,3.75,
651,Mi Sedaap,Mi Segera Mi Sup Perisa Kari Ayam,Pack,Indonesia,4,
2208,Roland,Ramen Japanese Style Quick-Cooking Alimentary Paste With Chicken Artificially Flavored Soup Base,Pack,USA,0,
706,Unif,Man Han Feast Spring Onion Eel,Bowl,Taiwan,4.25,
2018,Pulmuone,Noodle With Spicy Oyster Soup,Pack,South Korea,4,
1946,Nissin,Raoh Shio Ramen,Pack,Japan,4.75,
878,Nissin,Top Ramen Short Cuts Lime Chili,Pack,USA,3.75,
143,Mama,Mamy Chand Clear Soup,Pack,Thailand,2.75,
1734,Koka,Laksa Singapura,Pack,Singapore,4.25,
1238,Sapporo Ichiban,Sesame Ramen,Pack,Japan,5,
1805,Mama,Oriental Style Instant Noodles Tandoori Flavour,Pack,Bangladesh,4,
307,Royal Umbrella,Vegetarian Tom Yum,Cup,Thailand,2.75,
1071,Nissin,Raoh Soy Sauce Taste,Pack,Japan,4,
1645,Lucky Me!,Supreme Jjamppong Korean Style Spicy Seafood Soup,Bowl,Philippines,3.75,
134,Global Inspiration,Gyeong-Gi-Do Rice,Bowl,South Korea,2.25,
1403,Tesco,Everyday Value Chicken & Mushroom Flavour,Cup,UK,0.5,
2364,Samyang Foods,Cheese Buldak Bokkeummyun,Pack,South Korea,4,
1801,Baijia,Spicy Artificial Fei Chang Instant Vermicelli (New Recipe),Pack,China,3.75,
2549,Nissin,Gekikara Ramen Extra Hot Ramen Goreng,Pack,Indonesia,4.5,
2449,KOKA,Delight Tomato Flavor Instant Non-Fried Noodles,Pack,Singapore,5,
427,Koka,Mi Hai Cua Crab Flavor,Pack,Singapore,5,
1297,GaGa,Mie Gepeng Kuah Rasa Ayam Lada Hitam,Pack,Indonesia,3.25,
1123,Maruchan,Fresh Yaki-Soba Stir Fry Noodles With Seasoning Sauce Base,Pack,Japan,4.25,
2514,Ogasawara,Kirin Giraffe Shoyu Ramen,Pack,Japan,4.5,
1950,Fujiwara,Red King Crab Flavour Ramen,Pack,Japan,4,
1216,Batchelors,Super Low Fat Noodles Chilli Chicken Flavour,Pack,UK,1,
1613,Maruchan,Kaoru Maitake Tempura Udon,Bowl,Japan,3.25,
1347,Paldo,Bulnak Bokkummyun Spicy Fried Octopus Ramyun,Pack,South Korea,4,
128,Mama,Artificial PA-LO Duck,Pack,Thailand,0.1,
2376,Nissin,Disney Cuties Instant Chicken With Corn Flavour,Cup,Thailand,3.25,
626,Ottogi,Yeul Hot Taste,Bowl,South Korea,3.5,
487,Kailo,Big Bowl Artificial Chicken,Bowl,Hong Kong,2.75,
2326,Nissin,Demae Iccho Tokyo Shoru Tonkotsu Instant Noodle,Cup,Hong Kong,4,
2269,Wai Wai,Instant Noodles Veg Masala Flavour,Pack,India,4,
332,Nongshim,Champong Oriental Noodles,Cup,South Korea,3.75,"
"
275,Mama,Cup Shrimp Tom Yum Flavor,Cup,Thailand,3.75,
78,Nissin,Demae Ramen Seafood,Pack,Japan,2.5,
622,Daikoku,My Friend Vic Tanuki Udon,Bowl,Japan,4.75,
982,Sun Noodle,Ramen Miso Flavor,Tray,USA,5,
2479,E-Zee,Instant Noodles Chicken Flavour,Pack,Malaysia,4,
1730,Wu-Mu,BBQ Pork Flavor Chow Mein,Pack,Taiwan,4.5,
2320,Nissin,Nupasta Bolognese Flavour Instant Noodle,Cup,Japan,4,
1087,MyKuali,Penang White Curry Noodle,Pack,Malaysia,5,2014 #1
946,Right Foods,Dr. McDougall's Vegan Chicken Ramen,Cup,USA,1.75,
944,Wai Wai,Oriental Style Instant Noodles (Dry method),Pack,Thailand,3,
1335,Sakura Noodle,Chikara Brand Udon Hot & Spicy Flavor,Pack,USA,4,
762,Long Kow,Kimchi Pickle Bean Vermicelli,Pack,Taiwan,1.5,
2494,Nissin,Demae Ramen Korean Kimchi,Pack,Germany,3.5,
577,Pot Noodle,Chinese Chow Mein,Cup,UK,3,
1057,A-Sha Dry Noodle,Dry Noodle Hakka Noodle - Spicy Sesame Oil Sauce,Pack,Taiwan,3.5,
1010,Golden Wheat,Korean Style Spicy Beef Noodle Soup,Bowl,China,3.75,
1969,Nongshim,Noodle Soup Seasoned With Real Kimchi,Pack,USA,4.75,
145,Sakurai,Vegetarian Flavor,Pack,Japan,3.5,
1654,MyOri,Malaysia Penang White Curry Noodle Super Spicy,Pack,Malaysia,5,
1490,Nissin,Soba Chili Noodles With Japanese Yakisoba Sauce,Cup,Germany,3.5,
2102,Nissin,Cup Noodles Singapore Laksa,Cup,Japan,5,
1980,Suimin,Noodles Witrh Prawn & Chicken Flavour,Cup,Australia,3.5,
1802,Nissin,Cup Noodles Ramen Noodles Ramen Noodle Soup Beef Flavor (New Package) ,Cup,USA,3.5,
1659,United,Xi Gon Satay Onion Flavor,Pack,Vietnam,2.75,
122,Doll,Shrimp Wonton,Pack,Hong Kong,4,
1671,Ah Lai,Penang Favourite White Curry Rice Vermicelli,Pack,Malaysia,5,
1513,Mama,Instant Noodles Tom Yum Pork Flavour,Pack,Thailand,4,
150,Chorip Dong,Jjambbong Hot Spicy Seafood,Bowl,South Korea,4.25,
1617,MyKuali,Penang Hokkien Prawn Noodle (New Improved Taste),Pack,Malaysia,5,2015 #7
1878,Myojo,Extra Spicy Singapore Curry Big Bowl,Bowl,Singapore,5,
2526,Samyang Foods,Jjamppong Big Bowl,Bowl,South Korea,4.5,
2466,Sau Tao,Instant Noodle King Pepper Duck Flavour Soup,Pack,Hong Kong,4,
908,Sapporo Ichiban,Original Flavor,Cup,USA,3.5,
1860,Nissin,Cupo Noodle Pasta Style Vongole,Cup,Japan,2.75,
191,Wu Mu,Steamed Noodle Chinese Herbs,Pack,Taiwan,3.25,
1602,Vina Acecook,Mikochi Tom Yum Flavor Instant Noodles,Pack,Vietnam,3.5,
582,Koyo,Tofu & Miso,Pack,USA,2.5,
2560,Nissin,Cup Noodles Laksa Flavour,Cup,Hong Kong,4.25,
1530,Lucky Me!,Spicy Beef Mami Instant Noodle Soup,Pack,Philippines,4,
276,Wai Wai,Chili Paste Tom Yum,Pack,Thailand,3.25,
518,Dragonfly,Artificial Chicken,Bowl,China,4.5,
806,Ohsung,Hot Spicy Bowl With Soy Peptide,Bowl,South Korea,3.5,
1389,Tiger Tiger,Traveller's Choice Thai Red Curry Flavour Instant Noodles,Pack,UK,1.75,
1563,Nongshim,Shin Ramyun Noodle Soup (New Edition),Pack,USA,4.25,
1749,Yum Yum,Jumbo Instant Noodles Tom Yum Kung Creamy Flavour,Pack,Thailand,5,
2268,Nissin,Nupasta Neapolitan Flavour Instant Noodle,Pack,Hong Kong,5,
610,Wei Wei,"""A"" Series Artificial Chicken",Pack,Taiwan,3.25,
109,Mama,Pad Thai,Pack,Thailand,3.1,
726,Indomie,Mi Goreng Cakalang,Pack,Indonesia,4,
1497,Nissin,Easy Fideos Picante Lime Shrimp Flavor Ramen Noodle Soup,Cup,USA,3.5,
1592,Mom's Dry Noodle,Vegan Chilli With Sesame Sauce,Pack,Taiwan,5,
2362,Chuan Wei Wang,Bowl Instant Noodles Artificial Spicy Beef Flavor,Bowl,China,4,
1584,E-mi,Mi Perencah Asam Pedas,Pack,Malaysia,3.75,
462,Nissin,Top Ramen Shrimp,Pack,USA,3.5,
2334,Nissin,"Sopa Nissin Sabor Mariscos, Habanero Y Limon",Cup,Mexico,4,
1483,Four Seas,Hot & Spicy Instant Noodle (Mushroom & Beef Flavour),Pack,Hong Kong,4,
2330,Ve Wong,Little Prince(ss) Brand Snack Noodles Artificial Mexican Pizza Flavor,Pack,Taiwan,4,
1180,Wei Lih,What?€?s That? Leisure Meatballs Spicy Chicken Flavor,Pack,Taiwan,3.75,
2130,Kang Shi Fu,Artificial Salted Beef With Mushrooms Flavour,Pack,Hong Kong,4,
1228,Maruchan,Seimen Japanese Instant Ramen Noodles Shio Aji,Pack,Japan,3.75,
2211,Nissin,Disney Cuties Instant Noodle Roast Pork Flavour,Cup,Thailand,3,
1437,Knorr,Quick Serve Macaroni Abalone & Chicken Flavour,Pack,Hong Kong,3,
1799,Thai Smile,Spring Onion Rice Noodle Soup Bowl,Bowl,USA,2.5,
1397,Wu-Mu,Steam Seafood Flavor Ramen,Pack,Taiwan,4,
2183,MAMA,Instant Rice Noodles Moo Nam Tok Flavour,Pack,Thailand,3.5,
2047,Oni Hot Pot,XO Sauce Noodle,Pack,Taiwan,5,
2388,Hua Feng,Three Fresh Delicacies Instant Noodle,Pack,China,4.25,
466,Saigon Ve Wong,Kung Fu Rice Noodle Artificial Beef,Bowl,Vietnam,3.5,
1966,Wei Lih,GGE Noodle Snack Wheat Crackers Soy Sauce Ramen,Pack,Taiwan,3.75,
139,Kamfen,Noodle King Beef,Pack,China,1.75,
1698,Maruchan,Instant Lunch Chicken Tortilla Flavor Ramen Noodles With Vegetables,Cup,USA,4,
1291,A-One,M?? Ly Instant Noodles M?? T??m Shrimp Flavor,Cup,Vietnam,3.25,
497,Nissin,Demae Iccho Seafood & Abalone Macaroni,Pack,Japan,4,
2030,Myojo,Charumera Atyificial Tonkotsu Shouyu Flavor,Pack,Japan,3.75,
1631,Nissin,Donbei Tempura Soba Mini,Bowl,Japan,4,
1281,Tokachimen Koubou,Jet Black Sesame Oil Pork Tonkotsu,Bowl,Japan,2.25,
1186,Nissin,Sabor A Carne Sopa Instant??nea Con Fideos,Pack,Colombia,3.75,
240,Sanyo Foods,Aunt Mentaiko Durum Spaghetti,Bowl,Japan,4.5,
1607,Myojo,Nyumen Desse Shoyu,Bowl,Japan,2.75,
822,Paldo,Speed King Bowl (Prototype),Bowl,South Korea,3.5,
772,Nongshim,Bowl Noodle Hot & Spicy Beef (New),Pack,USA,3.5,
2148,Jingqi,Black Eyes Bean Pumpkin Noodles With Basil Sauce,Pack,Taiwan,5,
2538,Nissin,Cup Noodles Very Veggie Beef Flavor Ramen Noodle Soup,Cup,USA,5,
2303,Maruchan,Sopa Maruchan Sobar A Camaron,Pack,Mexico,3,
2433,Nissin,Cup Noodles Indonesia Mie Goreng,Cup,Japan,3.75,
529,Sapporo Ichiban,Hot Spicy Chicken,Pack,USA,2,
475,Gefen,Vegetable,Pack,USA,3.25,
1690,Wugudaochang,Sour Bamboo Shoot & Beef If Hot Pot Flavor Noodles,Bowl,China,4,
1473,Mama,Instant Cup Noodles Shrimp Tom Yum Flavour (Extreme),Cup,Thailand,5,
2354,Vifon,Viet Cuisine Bun Rieu Cua Sour Crab Soup Instant Rice Vermicelli,Bowl,Vietnam,5,
2402,Maggi,Nutri-licious Pazzta Tomato Twist,Pack,India,3.75,
580,Baijia,Hot & Sour Casserole Stewed Rice Noodle,Pack,China,0,
2112,Nissin,Chilli Noodles Spicy Tom Yum Flavour,Pack,Thailand,4,
2455,KOKA,Creamy Soup With Crushed Noodles Sweet Corn Flavor,Cup,Singapore,5,
1633,A-One,Mi Ly Instant Noodles Mi Bo Beef Flavor,Cup,Vietnam,3.5,
1301,Knorr,Quick Serve Macaroni Shrimp Broth,Pack,Hong Kong,3.25,
2444,KOKA,Silk Spicy Marinara Instant Rice Fettuccine,Bowl,Singapore,5,
1747,Vit's,Curry Instant Noodles,Pack,Malaysia,3.5,
2279,Nissin,Demae Iccho Spicy Tonkotsu Flavour Instant Noodle (Bowl Noodle),Bowl,Hong Kong,5,
1554,ICA,Asia Fast Noodles Snabbnudlar R??ksmak,Pack,Sweden,3,
2319,Nongshim,Saeutang Sabalmyeon,Bowl,South Korea,3.5,
1752,Kuriki,Mayo Ramen,Pack,Japan,4.75,
654,Mee Jang,Sour Spicy Chicken Tom Yum,Bowl,Thailand,3.25,
2260,Uni-President,Science Noodle (X'Mas Edition),Pack,Taiwan,5,
1872,Itsuki,Hakata Ossyoi,Pack,Japan,5,
1019,Samyang Foods,Kimchi Ramyun (SK Version),Pack,South Korea,4,
442,Nongshim,Kalguksoo,Pack,South Korea,4.5,
1756,A-Sha Dry Noodle,Veggie Noodle Carrot Noodle With Original Sauce,Pack,Taiwan,4.25,
253,Nongshim,Bowl Noodle Spicy Seafood,Bowl,USA,4.25,
1400,Pulmuone,Nature Is Delicious Non-Fried Ramyun (Spicy Flavor) (New Version),Pack,South Korea,3.75,
1615,Hankow,Shanghai Kaiyang Noodle,Pack,China,4,
2465,Nissin,Cup Noodles XO Sauce Seafood,Cup,China,3.75,
993,Unox,Sate,Pack,Holland,3.5,
373,Nissin,Cup Noodles Chicken Vegetable,Cup,USA,2.75,
2493,Nissin,Cup Noodles Curry,Cup,Germany,3.75,
1653,MyOri,Malaysia Penang Green Curry Rice Vermicelli,Pack,Malaysia,5,
677,Nongshim,Shin Ramyun Shrimp,Pack,China,4.5,
2198,Mr. Lee's Noodles,Dragon Fire Mushroom,Cup,UK,3,
1343,Lotus Foods,Jade Pearl Rice Ramen,Pack,USA,3.25,
2060,Nissin,Cup Noodle Light+ Cheese Fondue,Cup,Japan,5,
202,Nongshim,Bowl Noodle Cabbage Kimchi,Bowl,USA,3.25,
883,Yamachan,Shio Ramen Seafood Mild,Pack,USA,4.5,
720,Golden Mie,Chicken Curry,Pack,Dubai,3.75,
1668,Mama,Cup Rice Vermicelli With Clear Soup,Cup,Thailand,3.5,
2095,Nissin,Straits Kitchen Laksa,Pack,Singapore,5,
2037,Migawon,Hovenia Ramen Vegetable Flavor,Pack,South Korea,3.5,
698,Nissin,Chow Mein Orange Chicken,Tray,USA,4,
1793,Cintan,Mi Segera Mmm... Perisa Asam Laksa,Pack,Malaysia,3.5,
2105,Maruchan,Ramen Noodle Soup Chicken Tortilla Flavor,Pack,USA,3,
1998,Nissin,Men Shokunin Shoyu,Bowl,Japan,5,
1854,Mama,Chinese Kitchen Chinese Style Instant Noodles,Pack,Myanmar,3.5,
1901,Prima,Juzz's Mee Original Spicy Flavour,Pack,Singapore,5,
21,Nongshim,Champong Oriental Noodles,Pack,South Korea,4,
1356,Mamee,Chef Spicy Chicken Shiitake Flavour,Pack,Malaysia,3.25,
748,Hosoonyi,Naengmyeon Combo,Bowl,USA,3.75,
1286,Batchelors,Super Noodles Roast Beef & Onion Flavour,Pack,UK,3.25,
330,Vifon,Phu Gia Instant Bean Thread Chicken,Pack,Vietnam,3.25,
1311,Pop Bihun,Spesial Rasa Soto Ayam,Pack,Indonesia,4,
2058,Zow Zow,Instant Noodle Shrimp Tom Yam Flavoured,Pack,Thailand,3.75,
280,Rhee Bros Assi,Rice Noodle Katsuo,Tray,South Korea,4,
833,Wai Wai,Vegetarian,Pack,Thailand,3.5,
1597,Nissin,Original Chow Mein Premium Spicy Chicken Flavor,Tray,USA,4,
1099,Baltix,Instant Noodles With Beef Flavour Broth,Pack,Estonia,3.25,
55,Hua Feng Noodle Expert,Favoury Pork Flavor,Pack,China,1,
226,Nissin,Chow Noodles Cheddar Cheese,Tray,USA,4,
168,JFC,Japanese Style Noodle Fresh Udon,Bowl,Japan,3.75,
2426,Dr. McDougall's,Vegan Pad Thai Noodle Soup,Cup,USA,0,
81,Unif / Tung-I,Artificial Spicy Beef,Pack,Taiwan,3.5,
384,Nissin,Demae Iccho Tom Yam Goong Macaroni,Pack,Japan,4,
768,Fashion Foods,Oriental,Bowl,Thailand,0.25,
2014,Oni Hot Pot,Ghost Pepper Noodle,Pack,Taiwan,4.5,
2186,Master Kong,Assorted Seafood Noodles,Pack,China,4,
646,Yamamoto,Shoyu,Bowl,Japan,4.25,
92,Fashion Food,Tom Yum Seafood Creamy,Bowl,Thailand,2,
2377,MyKuali,Penang White Curry Instant Noodle (Japan Version),Box,Malaysia,5,
45,Indomie,Mi Goreng Sate,Pack,Indonesia,5,"
"
1928,Bamee,Instant Noodles Oriental Style Chicken Flavour,Pack,Thailand,3,
947,Maruchan,Yakisoba Jalapeno Cheddar,Tray,USA,4,
1219,Tokyo Noodle,Mini Instant Noodle Spicy Flavor,Pack,Japan,3.5,
1379,Takamori Kosan,Shio Yakisoba,Pack,Japan,4,
1150,Asian Thai Foods,Krrish Instant Noodles Chicken Flavor,Pack,Nepal,3.5,
892,ABC,Selera Pedas Hot Tomato Soup Flavor,Pack,Indonesia,4.5,
1843,Forest Noodles,Sunbaked Noodles With Sesame Sauce,Pack,Taiwan,4.5,
2394,Nissin,Cup Noodles Prawn Flavour,Cup,Hong Kong,3.75,
180,Myojo,Hyobanya No Yakisoba Sauce Flavor,Tray,Japan,4.75,
247,Myojo,Udon Mushroom,Pack,Japan,3,
1590,Mi E-Zee,Perisa Kari Sayuran,Pack,Malaysia,3.75,
506,Nongshim,Oolongmen Beef,Cup,South Korea,2.5,
2094,Nongshim,Champong Noodle Soup Spicy Seafood Flavor,Pack,South Korea,5,
1557,Hao Way,Penang Laksa ,Pack,Malaysia,3.5,
555,Batchelors,Super Noodles Chinese Chow Mein,Pack,UK,2.75,
1701,Sakurai Foods,Organic Shoyu Ramen,Pack,Japan,4.25,
1307,Nissin,Cup Noodle Cheese Curry,Cup,Japan,3.75,
1819,Yum Yum,Premier Bowl Instant Noodles Suki Flavour,Bowl,Thailand,5,
827,Paldo,Rabokki,Pack,South Korea,4.75,
1738,Little Cook,Instant Noodles Shrimp Tom Yum Flavour,Cup,Thailand,4.25,
1682,Wugudaochang,Sour Bamboo Shoot & Beef If Hot Pot Flavor Noodles,Pack,China,4,
579,Baijia,Sichuan Pickled Sweet Potato Thread,Pack,China,1.75,
173,Unif / Tung-I,Instant Bean Vermicelli Shrimp,Pack,Taiwan,1.5,
1089,Amianda,Hakka Flat Noodles - Fried Bean Sauce,Pack,Taiwan,4.25,
175,Samyang,Cold Ramen With Ponytail Radish,Pack,South Korea,3,
2395,Master Kong,Chicken Flavor Instant Noolde,Pack,China,4.25,
1039,Maruchan,Bowl Hot & Spicy Shrimp Flavor Ramen Noodles With Vegetables,Bowl,USA,4.25,
1895,Maruchan,Seimen Houjyun Koku Shoyu,Bowl,Japan,5,
1100,Baltix,Instant Noodles With Chicken Flavour Broth,Pack,Estonia,3.75,
867,Indomie,Rasa Coto Makassar,Pack,Indonesia,4,
1314,Paldo,Korean Traditional Beef Gomtangmen,Pack,South Korea,5,
1450,Nissin,Japanese Ramen Tokyo Shoyu Instant Noodles With Soup Base,Pack,Singapore,5,
2370,Samyang Foods,Zzaldduck Buldak Bokkeummyun Snack,Pack,South Korea,4.5,
1816,Vifon,Asian Style Instant Noodles Artificial Beef Flavor,Bowl,Vietnam,3.25,
2091,MyKuali,Penang Hokkien Prawn Noodle Authentic Taste,Cup,Malaysia,5,
2283,Nissin,Raoh Pork Bone Soy Soup Noodle,Pack,Japan,5,
1769,Mamee,Chef Lontong Flavour,Pack,Malaysia,5,
194,Saigon Ve Wong,Kung Fu Instant Rice Noodles Artificial Chicken,Pack,Vietnam,3.5,
1178,Nongshim,Shin Black Spicy Pot-au-feu Flavor Premium Noodle Soup,Cup,USA,5,
70,Nissin,Demae Ramen XO Sauce Seafood,Pack,Japan,4,
977,Sun Noodle,Yakisoba,Pack,USA,4.5,
829,Paldo,Kko Kko Myun King Cup,Bowl,South Korea,4.75,
2206,Nissin,Deka Buto Kuro M-yu Tonkotsu,Bowl,Japan,5,
2063,Mamee,Pepper Noodles Vegetarian,Pack,Hong Kong,3.25,
197,Rhee Bros Assi,Rice Noodle With Spicy Flavored Soup,Tray,South Korea,2.25,
1207,Nissin,UFO Yakisoba With Wasabi Mayonnaise,Bowl,Japan,5,
2512,Mom's Dry Noodle,Dan Dan Noodle,Pack,Taiwan,5,
365,Nissin,Cup Noodles Prawn,Cup,Singapore,3.25,
1308,Nongshim,Soon Veggie Noodle Soup,Pack,South Korea,5,2014 #9
1460,Nissin,Premium Instant Noodles Spicy Beef Flavour,Pack,Singapore,3.75,
1173,Pop Bihun,Spesial Goreng Special,Pack,Indonesia,3.5,
907,Nongshim,Neoguri Spicy Seafood,Cup,South Korea,4,
1579,Curry Prince,Penang Authentic White Curry Noodle,Pack,Malaysia,4,
615,Yamamori,Tom Yam Prawn,Pack,Japan,4.5,
542,Mi Sedaap,Mi SupArtificial Chicken Special,Pack,Indonesia,3,
2055,Nissin,Tokyo Tokunou Gyokai Tonkotsu,Bowl,Japan,5,
641,Vina Acecook,Hao Hao Shrimp Onion,Pack,Vietnam,3,
738,Nissin,U.F.O. Yakiosoba,Bowl,Japan,3.75,
302,Samyang,Bowl Noodle Picante Beef,Bowl,South Korea,3.75,
1943,New Touch,Sugomen Niigata Seabura Shoyu Ramen,Bowl,Japan,5,
2542,Acecook,Super Cup Yochan Ika Yakisoba,Tray,Japan,1.5,
538,Lucky Me!,Lomi Seafood Vegetable,Pack,Philippines,0.5,
2019,Acecook,Seabura Tonkotsu Ramen,Cup,Japan,3.75,
1422,Nissin,Pan Asian Kitchen Spicy Szechuan Chicken Flavor Ramen Noodles,Tray,USA,3,
671,Mug Shot,Spicy Sweet & Sour,Pack,UK,3,
1620,Premiere,Gold Penang Asam Laksa Bihun,Pack,Malaysia,3.25,
1541,Wu-Mu,Steam Pork Flavour,Pack,Taiwan,3.75,
801,Gau Do,Hot Sour Shrimp,Pack,Vietnam,3.75,
1117,Thai Pavilion,spicy Pad Thai Instant Noodles & Sauce,Tray,USA,4.25,
259,Vina Acecook,Mi Lau Thai Seafood,Pack,Vietnam,4,
1131,Wei Lih,What?€?s That? Leisure Meatballs Chicken Flavor,Pack,Taiwan,3.75,
2450,KOKA,Purple Wheat Noodles Chili & Lime Flavor,Pack,Singapore,4,
950,Ottogi,Kiss Myon,Cup,South Korea,3.75,
144,Nongshim,Kimchi Ramyun,Pack,South Korea,3.5,
1581,United,3 Con Tom Instant Noodles Thailand Sour Shrimp Flavor,Pack,Vietnam,2.75,
2504,Nongshim,Shin Ramyun,Pack,South Korea,3,
161,Paldo,Green Tea Chlorella,Pack,South Korea,0,
1562,Koka,Purple Wheat Noodles Soy & Vinegar Flavor,Pack,Singapore,2.75,
920,Shirakiku,Hot & Spicy Udon,Pack,USA,3,
1880,Myojo,Thai Tom Yam Flavour,Bowl,Singapore,3.75,
238,Nissin,Chow Noodles Tomato Basil,Bowl,USA,4,
186,Paldo,Teumsae Ramyun,Pack,South Korea,3.5,
2098,Nongshim,Kimchi Flavor Noodle Soup,Cup,USA,5,
2347,Nissin,Demae Iccho Tonkotsu Flavour Instant Noodle (Bowl Noodle),Bowl,Hong Kong,3,
135,Unif / Tung-I,Fresh Shrimp,Pack,Taiwan,3.25,
1406,La Fonte,Spaghetti With Mushroom Sauce,Pack,Indonesia,3.75,
1445,MyKuali,Penang Hokkien Prawn Noodle,Pack,Malaysia,5,
9,Sutah,Cup Noodle,Cup,South Korea,2,
1856,Indomie,Instant Cup Noodles Mi Goreng Fried Noodles,Cup,Indonesia,5,
344,Paldo,Stirfried Kimchi,Pack,South Korea,3.75,
449,Wu Mu,Beef Flavor Ramen,Pack,Taiwan,4.25,
2108,Weh Lih,GGE Noodle Snack Wheat Crackers Original Ramen,Pack,Taiwan,1,
2233,Nissin,Cup Noodles Milk Seafood Flavour,Cup,Hong Kong,4,
985,Ko-Lee,Go Noodles Thai Hot & Spicy Tom Yum,Cup,UK,1,
318,Unif,Super Bowl Artificial Pickled Chilli Beef,Bowl,Taiwan,3.25,
2264,Unif Tung-I,Instant Vegetarian Beehoon Rice Vermicelli,Pack,Taiwan,1,
2194,Fuku,Chicken Flavour Instant Noodle,Pack,Hong Kong,4,
926,Ibumie,VegeMee Vegetarian Flavour,Pack,Malaysia,2.75,
2544,Lipton,Cup-A-Soup Chicken Noodle With White Meat Instant Soup,Box,USA,1.5,
1327,Unif,Unif-100 Instant Noodles Artificial Tart Beef Flavor,Pack,China,3,
1208,Golden Wheat,Korean Style Stew Prok Flavour Cooking Noodle,Pack,China,3.5,
2437,Nissin,Raoh Nojyuku Toro Tonkotsu Ramen,Bowl,Japan,4.5,
1172,Koyo,Seaweed Ramen Made With Organic Noodles,Pack,USA,2.75,
916,Goku Uma,Seafood Flavor Japanese Noodles,Bowl,Japan,4.25,
880,Golden Wheat,South Korean Style Seafood,Cup,China,2.75,
1687,Wugudaochang,Chef's Grains Millet Noodle,Pack,China,3.75,
90,Long Kow,Crystal Noodle Six Kinds Of Mushrooms,Pack,China,2.3,
1278,Ottogi,Ppushu Ppushu Noodle Snack Bulgogi Flavor,Pack,South Korea,3.25,
1021,Samyang Foods,Beef Flavor Ramyun (SK Version),Pack,South Korea,4.25,
1201,A-Sha Dry Noodle,Instant Noodle Curry Flavour,Pack,Taiwan,4.25,
1627,Vedan,Wei Wei A Instant Noodles Hot Beef Flavour,Bowl,Taiwan,2.5,
826,Paldo,Namja,Pack,South Korea,5,
224,Mama,Instant Bowl Noodles Artificial Pork,Bowl,Thailand,2.75,
204,Nongshim,Bowl Noodle Spicy Shrimp,Bowl,USA,2.5,
